Project Name,Country,Year,Status,kV,Capacity (MW),Length (km),Cost (Million USD),Overhead Length (km),Underground Length (km),Underwater Length (km),Source,checked?,Source 2
Champlain Hudson Power Express,US-Canada,2026,Under Construction,500,1250,546,4500,0,271,275,,Y,
Trans Bay Cable,USA,2010,Completed,200,400,85,200,0,32,53,https://www.potreroview.net/trans-bay-cable-pumps-pittsburg-power-into-san-francisco/,Y,
Cross Sound Cable,USA,2002,Completed,,330,40,213,0,0,40,web:44,,
SunZia Transmission Project,USA,2026,Under Construction,525,3000,890,1800,800,90,0,https://nmreta.com/sunzia-transmission-project/,Y,
SOO Green HVDC Link,USA,2035,Permitting,350,2100,560,2500,50,510,0,https://neomarketdata.com/soo-green-hvdc-link-project,,
Texas to Southern Pool Interconnections,USA,2030s,Planning/Permitting,,2000,350,1500,200,150,0,web:45,,
Pacific Intertie,USA,2025,Operational/Upgrade,,3100,1360,700,1360,0,0,web:79,,
Square Butte Upgrade,USA,2025,Upgrade,,900,740,1000,740,0,0,web:83,,
Intermountain Power Project,USA,2027,Modernization,,1600,460,1100,460,0,0,web:87,,
North Plains Connector,USA,2032,Permitting/Planning,525,3000,675,3600,675,0,0,https://montanafreepress.org/2024/08/06/montana-lands-700-million-for-north-plains-connector-transmission-project/,Y,
Three Corners Connector,USA,2028,Planning,525,3000,466,2000,466,0,0,https://threecornersconnector.com/,,
Pecos West Intertie,USA,2030,Planning,525,1500,451,N/A,451,0,0,https://www.hvdcworld.com/blog/grid-united?authReq=false,,
New England Clean Power Link,USA,2020,Completed,,1000,248,1200,0,90,158,https://necplink.com/,,
Southern Spirit Transmission Tie,USA,N/A,Permitting/Planning,525,3000,515,2600,515,0,0,https://patternenergy.com/projects/southern-spirit-transmission/,,
southern Spirit Lowndes Converter,USA,2016,,,3000,0,300,,,,https://cdispatch.com/news/ask-the-dispatch-what-happened-to-the-700m-transmission-line-planned-to-cut-through-the-golden-triangle/,,
